key_gvkey,gvkey,conm,cik,fyear,cmonth,cyear,datadate,indfmt,sich,consol,popsrc,datafmt,curcd,fyr,act,ap,aqc,aqs,acqsc,at,ceq,che,cogs,csho,dlc,dp,dpc,dt,dvpd,exchg,gdwl,ib,ibc,intan,invt,lct,lt,ni,capx,oancf,ivncf,fincf,oiadp,pi,ppent,ppegt,rectr,sale,seq,txt,xint,xsga,costat,mkvalt,prcc_f,recch,invch,apalch,txach,aoloch,gdwlip,spi,wdp,rcp
2983044104,29830,WESTROCK CO,1732845,2020,09,2020,9/30/2020,INDL,2650,C,D,STD,USD,9,4944.7,1674.2,0,NA,NA,28779.7,10630.6,251.1,13334,260.4,395.6,1443.2,1487,10149.1,NA,11,5962.2,-690.9,-686.1,9629.4,2023.4,2928.9,18130.9,-690.9,978.1,2070.7,-921.5,-1021.1,1177.2,-522.6,11437.5,18574.1,2328.5,17578.8,10630.6,163.5,486,1624.4,A,9046.296,34.74,30.5,21.8,NA,0,-218,-1333.2,-1431.8,NA,-154.3
2986843830,29868,MACERICH CO,912242,2019,12,2019,12/31/2019,INDL,6798,C,D,STD,USD,12,NA,51.027,0,NA,NA,8853.571,2632.262,114.216,698.679,141.408,325.133,NA,337.667,5598.077,NA,11,0,96.82,102.554,56.546,0,NA,6022.601,96.82,0,355.157,-112.026,-278.216,254.657,104.143,NA,NA,144.035,975.97,2632.262,1.589,147.868,22.634,A,3806.7034,26.92,3.965,0,26.113,0,-9.553,NA,-0.351,NA,NA
2986844196,29868,MACERICH CO,912242,2020,12,2020,12/31/2020,INDL,6798,C,D,STD,USD,12,NA,68.825,0,NA,NA,9184.005,2257.049,482.659,667.598,149.771,355.614,NA,326.058,6262.945,NA,11,0,-230.203,-245.462,94.994,0,NA,6738.745,-230.203,0,124.837,-202.848,446.454,61.051,-245.909,NA,NA,239.194,758.988,2257.049,-0.447,80.797,30.339,A,1598.0566,10.67,-102.562,0,-6.099,0,0.81,NA,-163.298,NA,NA
2987543830,29875,AVALONBAY COMMUNITIES INC,915912,2019,12,2019,12/31/2019,INDL,6798,C,D,STD,USD,12,NA,92.135,0,NA,NA,19121.051,10989.549,127.614,1429.684,140.644,527.511,NA,668.924,7436.758,NA,11,0,785.974,786.103,0,0,NA,8127.601,785.974,5.266,1321.804,-1193.869,-218.185,835.308,799.106,NA,NA,0,2331.837,10989.549,13.003,266.408,66.845,A,NA,209.7,0,0,NA,0,-10.497,NA,0.839,NA,NA
2987544196,29875,AVALONBAY COMMUNITIES INC,915912,2020,12,2020,12/31/2020,INDL,6798,C,D,STD,USD,12,NA,93.609,0,NA,NA,19199.144,10751.583,313.532,1530.433,139.527,37.148,NA,714.785,7745.816,NA,11,0,827.63,827.706,0,0,NA,8444.293,827.63,28.505,1219.615,-179.433,-854.264,704.123,824.459,NA,NA,0,2307.298,10751.583,-3.247,258.308,72.742,A,NA,160.43,0,0,NA,0,-25.463,NA,-8.948,NA,NA
2990143677,29901,COPART INC,900075,2019,07,2019,7/31/2019,INDL,5010,C,D,STD,USD,7,687.167,113.947,0.745,0,NA,2547.617,1778.381,186.319,1080.448,229.79,1.138,84.895,85.334,401.229,NA,14,333.321,591.693,591.693,388.477,20.941,282.004,769.236,591.693,373.883,646.646,-356.267,-370.304,716.475,704.951,1427.726,1965.348,365.167,2041.957,1778.381,113.258,19.81,160.139,A,17815.6187,77.53,-60.808,-4.719,11.126,10.669,-30.178,NA,0,NA,NA
2990144043,29901,COPART INC,900075,2020,07,2020,7/31/2020,INDL,5010,C,D,STD,USD,7,963.759,132.919,11.702,NA,NA,3455.261,2489.516,477.718,1120.782,235.315,25.572,101.39,104.257,518.192,NA,14,343.622,699.907,699.907,391.394,20.08,356.044,965.745,699.907,591.972,917.885,-601.208,-27.414,816.099,800.839,2060.174,2684.715,348.087,2205.583,2489.516,100.932,20.23,167.312,A,21943.1238,93.25,15.993,1.348,41.648,10.114,-2.944,NA,0,NA,NA
2998443830,29984,PROLOGIS INC,1045609,2019,12,2019,12/31/2019,INDL,6798,C,D,STD,USD,12,NA,704.954,0,NA,NA,40031.85,22584.179,1088.855,2071.955,631.797,535.753,NA,1156.885,12377.511,NA,11,NA,1572.959,1701.846,718.695,0,NA,13960.066,1572.959,0,2264.034,-685.35,-839.599,1216.339,1776.363,NA,NA,85.835,3555.012,22653.127,74.517,288.457,266.718,A,NA,89.14,NA,0,NA,NA,7.054,NA,-16.126,NA,NA
2998444196,29984,PROLOGIS INC,1045609,2020,12,2020,12/31/2020,INDL,6798,C,D,STD,USD,12,NA,1143.372,1694.795,NA,NA,56065.005,31907.599,598.086,2762.083,739.381,376.061,NA,1569.828,17336.048,NA,11,25.3,1481.814,1616.63,1240.949,0,NA,19740.425,1481.814,0,2937.005,-3074.33,-372.162,1705.221,1747.088,NA,NA,189.356,4737.149,31971.547,130.458,356.286,269.845,A,73686.7105,99.66,NA,0,NA,NA,-33.514,NA,-193.29,NA,NA
3013743830,30137,NEKTAR THERAPEUTICS,906709,2019,12,2019,12/31/2019,INDL,2834,C,D,STD,USD,12,1421.55,19.234,0,NA,NA,1977.356,1405.391,1324.862,543.652,176.505,261.209,11,13.156,475.959,NA,14,76.501,-440.667,-440.667,76.501,12.665,353.893,571.965,-440.667,26.285,-328.681,206.886,23.355,-440.035,-440.054,199.176,327.051,36.802,114.617,1405.391,0.613,46.354,NA,A,3809.8604,21.585,6.411,-1.284,18.313,0,-1.752,NA,0,NA,NA
3013744196,30137,NEKTAR THERAPEUTICS,906709,2020,12,2020,12/31/2020,INDL,2834,C,D,STD,USD,12,1138.005,22.139,0,NA,NA,1538.767,1077.295,1061.896,520.337,180.091,13.915,12.5,14.182,350.628,NA,14,76.501,-444.44,-444.44,76.501,15.292,115.779,461.472,-444.44,7.258,-313.287,496.213,-80.354,-379.922,-443.947,186.138,324.626,38.889,152.915,1077.295,0.493,37.118,NA,A,3061.547,17,1.913,-2.627,15.723,0,1.703,NA,-45.189,-19.7,NA
3029343830,30293,ESSEX PROPERTY TRUST,920522,2019,12,2019,12/31/2019,INDL,6798,C,D,STD,USD,12,NA,154.117,0,NA,NA,12705.405,6220.427,81.094,921.449,66.092,288.057,NA,489.439,5885.613,NA,11,0,439.286,464.448,1.2,0,NA,6264.491,439.286,0,919.079,-527.691,-461.689,642.71,464.448,NA,NA,29.666,1618.589,6220.427,0,233.062,54.43,A,19884.4391,300.86,NA,0,NA,0,31.496,NA,3.717,NA,NA
3029344196,30293,ESSEX PROPERTY TRUST,920522,2020,12,2020,12/31/2020,INDL,6798,C,D,STD,USD,12,NA,149.755,0,NA,NA,12936.177,6000.41,84.041,1002.295,64.999,3.501,NA,532.171,6325.572,NA,11,0,568.87,599.332,4.7,0,NA,6720.746,568.87,0,803.108,-416.9,-383.261,533.985,599.332,NA,NA,174.689,1603.259,6000.41,0,224.515,66.979,A,15432.0626,237.42,NA,0,NA,0,-17.046,NA,-22.883,NA,NA
3049043830,30490,APARTMENT INVST & MGMT CO,922864,2019,12,2019,12/31/2019,INDL,6798,C,D,STD,USD,12,NA,NA,0,NA,NA,6828.739,1780.649,177.702,691.392,148.885,171.107,NA,380.171,4562.897,NA,11,37.8,474.083,508.027,37.8,0,NA,4866.164,474.083,0,374.472,-205.413,-63.952,170.531,504.892,NA,NA,20.949,928.052,1780.649,-3.135,174.24,66.129,A,7689.9103,51.65,NA,0,NA,0,-23.223,NA,-6.367,NA,-2.499
3049044196,30490,APARTMENT INVST & MGMT CO,922864,2020,12,2020,12/31/2020,INDL,6798,C,D,STD,USD,12,NA,NA,0,NA,NA,1840.492,499.778,298.735,155.339,149.036,0,NA,77.965,1082.59,NA,11,0,-5.041,-5.771,7.264,0,NA,1277.138,-5.041,0,47.846,-129.325,370.094,14.137,-15.92,12.86,NA,39.705,179.945,499.778,-10.149,28.512,10.469,A,786.9101,5.28,NA,0,NA,0,-3.101,NA,0,NA,NA
3082243830,30822,REALTY INCOME CORP,726728,2019,12,2019,12/31/2019,INDL,6798,C,D,STD,USD,12,NA,35.907,0,0,NA,18554.796,9774.456,73.343,722.732,333.619,334.2,NA,603.756,8029.778,NA,11,14.43,436.482,437.478,1507.813,0,NA,8750.638,436.482,0,1068.937,-3501.809,2492.602,702.376,443.636,5.251,NA,263.861,1491.591,9774.456,6.158,291.742,66.483,A,NA,73.63,NA,0,NA,0,15.102,NA,0,NA,NA
3082244196,30822,REALTY INCOME CORP,726728,2020,12,2020,12/31/2020,INDL,6798,C,D,STD,USD,12,NA,34.36,0,0,NA,20740.285,10985.483,846.696,928.873,361.303,44.2,NA,688.041,8938.282,NA,11,14.18,395.486,396.506,1724.835,0,NA,9722.555,395.486,0,1115.543,-2032.379,1692.079,653,411.199,8.598,NA,416.992,1651.625,10985.483,14.693,309.505,69.752,A,22462.2075,62.17,NA,0,NA,NA,-59.52,NA,-13.282,NA,-3.463
3092343830,30923,TECHNIPFMC PLC,1681459,2019,12,2019,12/31/2019,INDL,1389,C,D,STD,USD,12,11886.4,2659.8,-16,NA,NA,23518.8,7659.3,5239.9,10441.1,447.1,770.5,509.6,509.6,5432.2,NA,11,5598.3,-2415.2,-2412.1,6684.9,2936,10138.4,15789.6,-2415.2,454.4,848.5,-419.8,-784.4,1067.4,-2135.8,4054.6,6343.4,2287.1,13409.1,7659.3,276.3,567.8,1391,A,9585.824,21.44,NA,NA,26.1,NA,-85.2,-1988.7,-2594.1,-495.4,-134.4
