,key_gvkey,key_gvkey_fund,key_tic,month,quarter,year,qyear,date,comnam,permno,hsiccd,ticker,gvkey,prc,prc_change,prc_change_perc,S&P500_index,S&P500_index_change,S&P500_index_change_perc,EA,Intercept3d,Slope3d,Exp. Return1 [-1],Exp. Return1 [0],Exp. Return1 [1],AR1 [-1],AR1 [0],AR1 [1],CAR3d,Intercept4d,Slope4d,Exp. Return2 [-3],Exp. Return2 [-2],Exp. Return2 [-1],Exp. Return2 [0],AR2 [-3],AR2 [-2],AR2 [-1],AR2 [0],CAR4d,UE,fund_at,fund_ceq,fund_dt,fund_gdwl,fund_ni,fund_mkvalt
387,1263542020,1263542020,FISV44131,10,4,2020,42020,27-10-2020,FISERV INC,10696,7370,FISV,12635,96.61000061,-3.090003967,-0.031984308,138.0585806,-4.456249682,-0.032277962,27-10-2020,-0.000647761,1.166626454,-0.01119269,-0.038304086,0.008161648,-0.006798738,0.006319779,0.015897378,0.015418418,-0.000524393,1.165987397,0.006743162,-0.023689483,-0.011063545,-0.038160091,-0.003769302,-0.003984001,-0.006927883,-0.028215006,-0.042896191,0.04,74619,32330,21136,36322,958,76183.726
388,2847712020,#N/A,FLIR43888,2,1,2020,12020,27-02-2020,FLIR SYSTEMS INC,79265,3810,FLIR,28477,44.42499924,-1.954998016,-0.044006709,120.8882878,-1.151513933,-0.009525438,27-02-2020,-0.000220252,1.27238772,-0.051120198,-0.012340303,0.049807715,-0.127563494,-0.031666406,-0.02202339,-0.18125329,-0.000242961,1.260054273,-0.039544677,-0.007979033,-0.050649526,-0.012245531,-0.007998918,0.007979033,-0.128034166,-0.036007791,-0.164061842,-0.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
389,2847722020,#N/A,FLIR43957,5,2,2020,22020,6/5/2020,FLIR SYSTEMS INC,79265,3810,FLIR,28477,45.40999985,2.490001678,0.054833774,114.0126355,1.599364803,0.014027961,6/5/2020,-0.000481558,0.836567416,-0.007442237,0.011253777,0.01336202,0.103772557,0.043579998,-0.009395452,0.137957102,-0.000309714,0.838216313,0.002172506,0.008649493,-0.007284112,0.011448752,-0.027382632,-0.016791259,0.103614432,0.082216407,0.141656946,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
390,2847732020,#N/A,FLIR44049,8,3,2020,32020,6/8/2020,FLIR SYSTEMS INC,79265,3810,FLIR,28477,37.45999908,0.01499939,0.000400411,135.8308317,0.435473329,0.003205998,6/8/2020,-0.000522301,0.82531824,0.000419798,0.002123667,0.001281054,-0.125799264,-0.001723256,0.013528828,-0.113993692,-0.000474124,0.827321067,0.002476618,0.005520487,0.000470262,0.002178265,0.008703149,0.002007237,-0.125849727,-0.008302738,-0.12344208,0.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
391,2847742020,2847742020,FLIR44134,10,4,2020,42020,30-10-2020,FLIR SYSTEMS INC,79265,3810,FLIR,28477,34.68999863,0.780002594,0.022484942,133.5014827,2.280222838,0.017080131,30-10-2020,-0.001560366,0.797403045,-0.008133975,0.012059383,0.014729054,0.017150774,0.010425559,0.009798685,0.037375017,-0.001698358,0.801352176,-0.027564374,0.004352798,-0.008304523,0.011988842,-0.000713202,0.00622923,0.017321322,0.023198143,0.046035493,0.08,3252.348,1883.374,738.392,1394.364,212.584,5748.436
392,483912020,#N/A,F43865,2,1,2020,12020,4/2/2020,FORD MOTOR CO DEL,25785,3711,F,4839,9.180000305,-0.869999886,-0.094771226,132.9009124,1.57191957,0.011827756,4/2/2020,-0.000454496,1.042087876,0.013864865,0.011871065,0.001031399,0.008406936,-0.106642291,-0.008251666,-0.106487021,-0.000601793,1.053864929,-0.018297845,0.006917085,0.013879397,0.011863064,0.016035349,0.011223488,0.008392404,-0.110806576,-0.075155334,-0.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
393,483922020,#N/A,F43949,4,2,2020,22020,28-04-2020,FORD MOTOR CO DEL,25785,3711,F,4839,5.380000114,-0.119999886,-0.022304811,115.6713331,2.891333743,0.024996113,28-04-2020,-0.002456662,1.080415222,-0.00305324,0.02454952,-0.018554279,0.043672202,-0.04685433,-0.013765126,-0.016947254,-0.002538483,1.074624231,0.011274166,0.018221655,-0.003131864,0.024322946,-0.015364142,0.043380029,0.043750826,-0.006940669,0.064826044,-0.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
394,483932020,#N/A,F44042,7,3,2020,32020,30-07-2020,FORD MOTOR CO DEL,25785,3711,F,4839,6.739999771,-0.129999638,-0.019287781,133.6276839,0.262042322,0.001960988,30-07-2020,-0.001368652,1.16546052,-0.005647818,0.000916802,0.001516976,-0.020363787,-0.020204583,0.010585887,-0.029982482,-0.001344273,1.170871743,-0.011670872,0.016212106,-0.005643307,0.000951793,0.023214942,-0.029050929,-0.020368298,-0.042502723,-0.068707008,0.93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
395,483942020,483942020,F44132,10,4,2020,42020,28-10-2020,FORD MOTOR CO DEL,25785,3711,F,4839,7.699999809,0.200000286,0.025974064,133.602331,1.008855592,0.007551183,28-10-2020,-0.00044557,1.155930112,-0.037756639,0.008283069,-0.009974794,0.009978827,0.017690994,-0.011544203,0.016125619,-0.000509257,1.15681802,-0.023492175,-0.010965529,-0.037848986,0.008226087,0.007560788,-0.002733059,0.010071175,0.018413275,0.033312179,0.51,267261,30690,150956,258,-1279,34972.7291
396,18337712020,#N/A,FTNT43867,2,1,2020,12020,6/2/2020,FORTINET INC,93132,9999,FTNT,183377,121.3300018,-4.220001221,-0.034781185,134.6645746,-1.017406297,-0.007555115,6/2/2020,0.000780179,1.323065374,0.002666716,-0.009215732,0.008741624,0.0102737,-0.025565453,0.005091548,-0.010200205,0.000713733,1.336317268,0.01907611,0.016519368,0.002619166,-0.009382297,0.011742021,-0.019017728,0.010321251,-0.046523206,-0.043477662,0.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
